Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommend Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Wash Dryer,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Address
Diplomat Apartments,203752,02/22/2011 12:00:00 AM,29,10%,22,Needed,1964,Yes,Gas and Electric,13,7.66,02/10/2014 12:00:00 AM,"1911 San Gabriel St
Austin, TX 78705
(30.28451818400049, -97.74813936799967)"
New Yorker,312543,04/08/2011 12:00:00 AM,22,10%,9,Needed,1983,Yes,Electric,28,13.58,02/10/2014 12:00:00 AM,"607 Woodward St
Austin, TX 78704
(30.226085339000463, -97.75281186299969)"
Landry Place,287935,06/14/2011 12:00:00 AM,19,10%,19,Needed,1987,Yes,Electric,284,10.78,02/10/2014 12:00:00 AM,"2239 Cromwell Circle
Austin, TX 78741
(30.228698146000454, -97.71911185899967)"
Mark Embers,"210208, 210209, 210207",01/06/2011 12:00:00 AM,46,10%,,Needed,1964,No,Gas and Electric,38,8.59,02/10/2014 12:00:00 AM,"3106 Speedway
Austin, TX 78705
(30.29556635700044, -97.7367465319997)"
Park Plaza Apartments,211811,01/24/2011 12:00:00 AM,22,10%,7,Needed,1980,Yes,Electric,30,9.42,02/10/2014 12:00:00 AM,"915 East 41st St.
Austin, TX 78751
(30.299004698000488, -97.72100335999966)"
24 Flats,109020,01/07/2011 12:00:00 AM,70,15%,,Needed,1972,Yes,Electric,24,8.45,02/10/2014 12:00:00 AM,"1515 Palma Plaza
Austin, TX 78703
(30.281655466000473, -97.75754239499969)"
505 West 18th Street Apartments,199772,04/27/2011 12:00:00 AM,19,10%,,Needed,1983,Yes,Electric,10,9.98,02/10/2014 12:00:00 AM,"505 West 18th Street
Austin, TX 78701
(30.281013516000485, -97.7435284609997)"
Spring Hollow,"217295, 219437",04/01/2011 12:00:00 AM,12,10%,11,Needed,1985,Yes,Electric,96,18.4,02/10/2014 12:00:00 AM,"4803 Loyola Ln
Austin, TX 78723
(30.308590123000442, -97.66603017499966)"
,114187,11/16/2012 12:00:00 AM,28.4,10%,22.4,Needed,1948,Yes,Gas and Electric,6,6.38,02/10/2014 12:00:00 AM,"2503 BRIDLE PATH
Austin, TX 78703
(30.290435494000462, -97.76929292299968)"
GATEWAYS,250294,04/19/2011 12:00:00 AM,9,10%,11,Needed,1980,Yes,Electric,118,14.23,02/10/2014 12:00:00 AM,"1804 West Rundberg Ln
Austin, TX 78758
(30.37141594400049, -97.7142688079997)"
WOODSTONE APARTMENTS,144757,04/21/2011 12:00:00 AM,64,15%,15,Needed,1979,Yes,Electric,120,9.93,02/10/2014 12:00:00 AM,"4021 Steck Ave.
Austin, TX 78759
(30.37362486900048, -97.7540329899997)"
Siesta Place Apartments,216063,05/10/2011 12:00:00 AM,31,15%,9,Needed,1967,Yes,Electric,12,8.18,02/10/2014 12:00:00 AM,"609 E. 45th St
Austin, TX 78751
(30.306355143000474, -97.72299316899966)"
Davis Square Apartments,230011,05/24/2011 12:00:00 AM,24,10%,19,Complete,1985,No,Electric,16,9.82,02/10/2014 12:00:00 AM,"903 Romeria Dr.
Austin, TX 78752
(30.33066514900048, -97.72495336599968)"
Colonial Apartments,109073,04/12/2011 12:00:00 AM,34,15%,12,Needed,1958,Yes,Gas and Electric,13,6.03,02/10/2014 12:00:00 AM,"1212 West 13th Street
Austin, TX 78703
(30.27940627200047, -97.7547779839997)"
Sterling Springs,324070,12/11/2012 12:00:00 AM,6,10%,8,Complete,1984,Yes,Electric,179,15.08,02/10/2014 12:00:00 AM,"2809 W WILLIAM CANNON DR
Austin, TX 78745
(30.20822444200047, -97.81853119699969)"
AUSTIN PRESBYTERIAN,208474,05/25/2011 12:00:00 AM,19,15%,17,Complete,1985,No,Electric,12,10.28,02/10/2014 12:00:00 AM,"402 E 30th
Austin, TX 78705
(30.29234357700045, -97.73496281199965)"
ACP MEWS LP,203518,04/14/2011 12:00:00 AM,36,10%,13,Needed,1984,No,Electric,10,10.68,02/10/2014 12:00:00 AM,"905 W 22 1/2 St
Austin, TX 78705
(30.286262820000445, -97.74696324899969)"
Joseph's Corner,208162,11/13/2012 12:00:00 AM,14.4,10%,30,Needed,2001,No,Electric,8,10.43,02/10/2014 12:00:00 AM,"2824 RIO GRANDE ST
Austin, TX 78705
(30.295273807000456, -97.74398208999969)"
Caspah Apartments,112448,06/24/2011 12:00:00 AM,54,15%,,Needed,1973,Yes,Electric,15,5.96,02/10/2014 12:00:00 AM,"2200 San Gabriel
Austin, TX 78705
(30.285744047000435, -97.74808251599967)"
Vista Lago,285470,06/02/2011 12:00:00 AM,22,15%,10,Needed,1984,No,Electric,102,10.67,02/10/2014 12:00:00 AM,"2215 Town Lake Cir
Austin, TX 78741
(30.24058724900044, -97.72477215199967)"
Casa Del Norte,229683,06/30/2011 12:00:00 AM,75,10%,12,Needed,1972,Yes,Electric,16,12.14,02/10/2014 12:00:00 AM,"5406 Jeff Davis Ave.
Austin, TX 78756
(30.327706494000438, -97.73829573999967)"
Serena Park Apts,250042,05/03/2011 12:00:00 AM,45,10%,8,Needed,1972,Yes,Electric,36,14.55,02/10/2014 12:00:00 AM,"9210 Northgate Blvd
Austin, TX 78758
(30.371626769000443, -97.71585591599967)"
Pebble Creek,240607,08/11/2011 12:00:00 AM,43,15%,12,Needed,1979,Yes,Gas and Electric,352,10.18,02/10/2014 12:00:00 AM,"8805 North Plaza Drive
Austin, TX 78753
(30.35032397900045, -97.6880649309997)"
505 Kenniston Drive,232429,12/18/2012 12:00:00 AM,18,10%,,Needed,1968,Yes,Gas and Electric,6,8.62,02/10/2014 12:00:00 AM,"505 KENNISTON DR
Austin, TX 78752
(30.334414990000482, -97.7157126029997)"
Hyde Park Apartments,"215870, 215869",03/04/2011 12:00:00 AM,70,10%,,Needed,1968,Yes,Gas and Electric,55,8.62,02/10/2014 12:00:00 AM,"4410 AVENUE F
Austin, TX 78751
(30.308037004000482, -97.72758630899966)"
Montecito Apartments,289941,10/05/2010 12:00:00 AM,12,15%,14,Needed,1984,Yes,Electric,268,12.79,02/10/2014 12:00:00 AM,"3111 Parker Lane
Austin, TX 78741
(30.223543596000468, -97.74219836899965)"
The Chimneys,206603,04/21/2011 12:00:00 AM,58,15%,,Needed,1980,Yes,Electric,8,15.77,02/10/2014 12:00:00 AM,"701 West 25th
Austin, TX 78705
(30.28930319900047, -97.74487158199969)"
105 E 31 ST,210426,11/09/2012 12:00:00 AM,26,10%,12,Needed,1972,Yes,Gas and Electric,14,8.46,02/10/2014 12:00:00 AM,"105 E 31 ST
Austin, TX 78705
(30.29483794400045, -97.73639831599968)"
Antilles,"114301, 114302",01/07/2011 12:00:00 AM,45,10%,,Needed,1961,Yes,Electric,30,5.22,02/10/2014 12:00:00 AM,"2202 Enfield Rd
Austin, TX 78703
(30.28729562400048, -97.76646692199967)"
Highland Village Apartments,"226757, 226758",04/08/2011 12:00:00 AM,59,10%,,Needed,1962,Yes,Gas and Electric,69,5.59,02/10/2014 12:00:00 AM,"809 Tirado
Austin, TX 78752
(30.32356579900045, -97.70913320799968)"
Beatrice Apt.,214744,05/01/2011 12:00:00 AM,22,10%,11,Needed,1966,Yes,Electric,14,6.93,02/10/2014 12:00:00 AM,"102 W. 38th
Austin, TX 78705
(30.300806184000464, -97.73405910699967)"
Cedar Street Flats,212837,03/10/2011 12:00:00 AM,,N\A,,Needed,1967,Yes,Electric,16,8.86,02/10/2014 12:00:00 AM,"3707 Cedar St
Austin, TX 78705
(30.300514819000455, -97.73500426599969)"
The Old Homestead,225510,02/01/2013 12:00:00 AM,24.8,15%,8,Needed,1983,No,Gas and Electric,14,10.95,02/10/2014 12:00:00 AM,"1124 CLAYTON LN
Austin, TX 78723
(30.317655595000474, -97.70041832199968)"
VIP Apartments,213081,01/25/2011 12:00:00 AM,32,10%,1,Needed,1968,Yes,Electric,18,4.47,02/10/2014 12:00:00 AM,"101 E. 33rd
Austin, TX 78705
(30.297165309000434, -97.7353430069997)"
Nova House,208473,05/25/2011 12:00:00 AM,60,15%,,Needed,1969,Yes,Gas and Electric,13,6.09,02/10/2014 12:00:00 AM,"404 E 30th
Austin, TX 78705
(30.292222768000443, -97.7348230509997)"
Lantana Ridge,380515,05/19/2011 12:00:00 AM,46,15%,26,Needed,1997,Yes,Gas and Electric,354,7.4,02/10/2014 12:00:00 AM,"6636 W William Cannon Dr
Austin, TX 78735
(30.24361478500049, -97.86286541099969)"
,109284,05/20/2011 12:00:00 AM,7,15%,19,Needed,1969,Yes,Gas and Electric,5,8.22,02/10/2014 12:00:00 AM,"913 West Lynn
Austin, TX 78703
(30.27841373700045, -97.7602949629997)"
Woodmeade Apartments,290264,04/12/2011 12:00:00 AM,52,15%,18,Needed,1986,Yes,Electric,296,13.14,02/10/2014 12:00:00 AM,"2501 Wickersham Ln
Austin, TX 78741
(30.22371296600045, -97.72625976999967)"
CLUB CREEK APARTMENTS,249290,04/22/2011 12:00:00 AM,31,15%,15,Needed,1984,,Gas and Electric,158,11.3,02/10/2014 12:00:00 AM,"502 W. LONGSPUR BLVD.
Austin, TX 78758
(30.366616717000454, -97.69206941899967)"
Mason Manor Apartments,196142,05/20/2011 12:00:00 AM,34,15%,30,Complete,1966,Yes,Electric,140,8.96,02/10/2014 12:00:00 AM,"1137 Gunter St.
Austin, TX 78721
(30.27010747300045, -97.6964422589997)"
Andrews Apartments,214625,11/08/2012 12:00:00 AM,41,15%,,Complete,1972,Yes,Electric,50,9.48,02/10/2014 12:00:00 AM,"415 W 39 ST
Austin, TX 78751
(30.30351492900047, -97.7362727689997)"
Madison at Walnut Creek,262009,04/14/2011 12:00:00 AM,50,15%,21,Needed,1994,Yes,Gas and Electric,342,7.67,02/10/2014 12:00:00 AM,"12113 Metric Blvd
Austin, TX 78758
(30.40426080600048, -97.69840837999965)"
Coulter Apartments,228854,08/31/2010 12:00:00 AM,33,10%,12,Needed,1968,Yes,Gas and Electric,14,9.92,02/10/2014 12:00:00 AM,"5605 Woodrow Ave
Austin, TX 78756
(30.328224081000485, -97.7332146229997)"
Dryfield Apartments,242745,05/16/2011 12:00:00 AM,29,10%,19,Needed,1969,Yes,Gas and Electric,28,8.34,02/10/2014 12:00:00 AM,"8502 Dryfield Dr.
Austin, TX 78758
(30.359287591000452, -97.71482547999966)"
South Congress Commons,"309750, 309755",05/16/2011 12:00:00 AM,8,10%,,Complete,1978,Yes,Electric,70,7.5,02/10/2014 12:00:00 AM,"126 W. Alpine Rd
Austin, TX 78704
(30.228565492000484, -97.7622385789997)"
4409 Avenue A 78751,217991,03/17/2011 12:00:00 AM,21,10%,11,Needed,1967,No,Gas and Electric,12,7.1,02/10/2014 12:00:00 AM,"4409 Avenue A
Austin, TX 78751
(30.30992495300046, -97.73232513199969)"
Villa del Sol,227794,03/28/2011 12:00:00 AM,28,10%,,Needed,1971,Yes,Gas and Electric,23,10.41,02/10/2014 12:00:00 AM,"5306 Woodrow Ave
Austin, TX 78756
(30.324717044000465, -97.73551593099967)"
Continental Flats,112444,03/23/2011 12:00:00 AM,52,15%,,Needed,1986,Yes,Electric,10,15.41,02/10/2014 12:00:00 AM,"1013 West 23rd St.
Austin, TX 78705
(30.28724351000045, -97.74905254799967)"
RODIN VILLAGE,202341,10/25/2012 12:00:00 AM,,N/A,30,Needed,2002,No,Electric,8,5.98,02/10/2014 12:00:00 AM,"1803 E 20 ST
Austin, TX 78722
(30.28066293100045, -97.72200537099968)"
Del Mar,218075,11/09/2012 12:00:00 AM,42.3,10%,1,Needed,1972,Yes,Electric,10,9.61,02/10/2014 12:00:00 AM,"4415 AVENUE B
Austin, TX 78751
(30.309804143000463, -97.73119520399968)"
1302 Norwalk,112975,04/08/2011 12:00:00 AM,30,10%,18,Needed,1963,No,Gas and Electric,6,6.03,02/10/2014 12:00:00 AM,"1302 Norwalk Ln
Austin, TX 78703
(30.288147215000436, -97.77271586599966)"
Bamboo Court,216520,10/31/2012 12:00:00 AM,42,10%,1,Needed,1966,Yes,Gas and Electric,26,8.73,02/10/2014 12:00:00 AM,"4715 HARMON AVE
Austin, TX 78751
(30.30662400400047, -97.71432447499967)"
Town Lake Villa I,187587,11/13/2012 12:00:00 AM,,N\A,13,Needed,1973,No,Gas and Electric,10,10.29,02/10/2014 12:00:00 AM,"2609 E CESAR CHAVEZ ST
Austin, TX 78702
(30.253624045000436, -97.71470940799969)"
Fortwood Apartments,509272,01/28/2011 12:00:00 AM,29,10%,18,Needed,1978,Yes,Gas and Electric,44,9.96,02/10/2014 12:00:00 AM,"1801 Fortview Road
Austin, TX 78704
(30.22984583900046, -97.78534285699965)"
Tanglewood North,216425,05/19/2011 12:00:00 AM,59,15%,10,Needed,1963,,Gas and Electric,126,3.62,02/10/2014 12:00:00 AM,"1020 E. 45th St.
Austin, TX 78751
(30.30362744800044, -97.71685555899967)"
,103580,04/25/2011 12:00:00 AM,75,10%,19,Needed,1973,No,Electric,6,10.2,02/10/2014 12:00:00 AM,"2206 Trailside Drive
Austin, TX 78704
(30.259618342000465, -97.7730996149997)"
Forest Creek Village,289705,06/14/2011 12:00:00 AM,63,10%,,Needed,1969,Yes,Electric,166,8.03,02/10/2014 12:00:00 AM,"1401 St. Edwards
Austin, TX 78704
(30.22863892500044, -97.7464693499997)"
Guadalupe Plaza,"226677, 226676",04/25/2011 12:00:00 AM,,N\A,9,Needed,1971,Yes,Gas and Electric,32,8.51,02/10/2014 12:00:00 AM,"5306 Guadalupe
Austin, TX 78751
(30.320677023000485, -97.7265262629997)"
Turnberry Apts - Building A,211804,05/01/2011 12:00:00 AM,43,10%,11,Needed,1966,Yes,Gas and Electric,12,7.16,02/10/2014 12:00:00 AM,"4003 Red River
Austin, TX 78751
(30.29882229800046, -97.72259046999966)"
Alexandra Apartments,203750,02/01/2011 12:00:00 AM,,N\A,1,Needed,1968,Yes,Electric,10,7.97,02/10/2014 12:00:00 AM,"1907 San Gabriel St.
Austin, TX 78705
(30.284187734000454, -97.74816897799968)"
State House on Congress,282706,12/22/2010 12:00:00 AM,9,10%,18,Needed,1997,No,Electric,288,8.2,02/10/2014 12:00:00 AM,"1201 Congress
Austin, TX 78704
(30.242780136000476, -97.76555783599969)"
Woods at Manchaca Townhomes,308102,08/05/2013 12:00:00 AM,18,10%,17,Complete,1984,No,Gas and Electric,42,8.64,02/10/2014 12:00:00 AM,"4015 Manchaca Rd.
Austin, TX 78704
(30.232855423000444, -97.78632473199968)"
Avenue A Efficiencies,221353,11/13/2012 12:00:00 AM,,N\A,11,Needed,1968,Yes,Electric,8,13.96,02/10/2014 12:00:00 AM,"4546 AVENUE A
Austin, TX 78751
(30.31139717500048, -97.73145577499969)"
Mesa Verde,504110,02/11/2011 12:00:00 AM,18,10%,18,Needed,1993,No,Electric,357,10.49,02/10/2014 12:00:00 AM,"3201 Duval Rd
Austin, TX 78759
(30.41009283900047, -97.71867836499968)"
,221923,02/01/2012 12:00:00 AM,,N\A,,No Info,1966,No,Electric,8,10.22,02/10/2014 12:00:00 AM,"5505 HELEN ST
Austin, TX 78751
(30.316284048000455, -97.7118147109997)"
,120330,03/30/2011 12:00:00 AM,28,10%,30,Needed,1964,Yes,Gas and Electric,6,9.22,02/10/2014 12:00:00 AM,"1803 West 35th Street
Austin, TX 78703
(30.308224142000483, -97.75328681199966)"
Village at 47 Apartments,"216518, 216523",01/15/2013 12:00:00 AM,30,10%,9,Needed,1967,Yes,Electric,67,5.68,02/10/2014 12:00:00 AM,"4706 N INTERSTATE HY 35
Austin, TX 78751
(30.31036235200048, -97.72429766299967)"
Autumn Hills/The Arbor,"285455, 285454",04/22/2011 12:00:00 AM,41,15%,18,Complete,1972,,Electric,282,11.02,02/10/2014 12:00:00 AM,"1600 Royal Crest Dr
Austin, TX 78741
(30.239494039000476, -97.7301422649997)"
Lantana Apartments,202003,05/20/2011 12:00:00 AM,75,15%,,Needed,1962,Yes,Electric,50,7.8,02/10/2014 12:00:00 AM,"1802 West Avenue
Austin, TX 78705
(30.28207119400048, -97.74619930499966)"
University Quarters,"208370, 208385, 208384, 208369",04/14/2011 12:00:00 AM,39,10%,9,Needed,1978,Yes,Electric,84,7.63,02/10/2014 12:00:00 AM,"2803 Hemphill Park
Austin, TX 78705
(30.293776714000444, -97.74089907199965)"
Montano Properties,237966,10/31/2012 12:00:00 AM,,N\A,1,Complete,1956,Yes,Gas and Electric,8,9.81,02/10/2014 12:00:00 AM,"619 W POWELL LN
Austin, TX 78753
(30.349985238000443, -97.70752241099967)"
TownHollow,100030,05/17/2011 12:00:00 AM,35,15%,8,Needed,1982,Yes,Electric,77,11.15,02/10/2014 12:00:00 AM,"1200 Treadwell St
Austin, TX 78704
(30.25574650700048, -97.76076872699969)"
Chase Village,236540,05/21/2011 12:00:00 AM,28,10%,16,Needed,1980,Yes,Electric,129,11.14,02/10/2014 12:00:00 AM,"8028 Gessner Drive
Austin, TX 78753
(30.344173340000452, -97.70212860999965)"
Lola,237960,02/28/2013 12:00:00 AM,52.2,10%,,Needed,1963,Yes,Gas and Electric,10,12.46,02/10/2014 12:00:00 AM,"104 W LOLA DR
Austin, TX 78753
(30.34709646300047, -97.70393838699965)"
Barcelona Apartments,285468,05/09/2011 12:00:00 AM,27,10%,,Needed,1968,Yes,Electric,46,14.73,02/10/2014 12:00:00 AM,"2101 Elmont Dr.
Austin, TX 78741
(30.241345271000455, -97.7259695889997)"
Lakeview Apartments,285034,05/09/2011 12:00:00 AM,50,10%,11,Needed,1972,Yes,Electric,218,10.19,02/10/2014 12:00:00 AM,"2401 S. Lakeshore Blvd
Austin, TX 78741
(30.243364689000487, -97.71964010499966)"
2705 Windswept West,509357,02/04/2011 12:00:00 AM,35,10%,12,Complete,1971,No,Gas and Electric,6,10.28,02/10/2014 12:00:00 AM,"2705 Windswept Cove
Austin, TX 78745
(30.22967528400045, -97.80176351099965)"
Westdale Parke – Phase II,136152,10/10/2011 12:00:00 AM,64,15%,15,Complete,1977,Yes,Electric,260,9.44,02/10/2014 12:00:00 AM,"3607 GREYSTONE DR
Austin, TX 78731
(30.35840520600044, -97.75301202899965)"
South Cliff,285896,02/17/2011 12:00:00 AM,22,10%,,Needed,1980,Yes,Electric,60,10.22,02/10/2014 12:00:00 AM,"2001 S IH35
Austin, TX 78741
(30.231461397000487, -97.72082600399966)"
Douglas Landing,445833,05/27/2011 12:00:00 AM,14.5,10%,17,Complete,1999,Yes,Electric,96,12.86,02/10/2014 12:00:00 AM,"2347 Douglas St
Austin, TX 78741
(30.228294262000475, -97.73261531099968)"
WOODMARK APARTMENTS,251496,04/20/2011 12:00:00 AM,14,15%,14,Needed,1984,Yes,Gas and Electric,161,11.06,02/10/2014 12:00:00 AM,"1735 Rutland Dr.
Austin, TX 78758
(30.376717362000477, -97.71042658299967)"
Southland Apartments,325917,02/17/2011 12:00:00 AM,19,10%,7,Needed,1982,Yes,Electric,72,14.99,02/10/2014 12:00:00 AM,"2201 W. William Cannon
Austin, TX 78745
(30.20359695400049, -97.8090961909997)"
S and R Apartments,220305,11/05/2012 12:00:00 AM,28.1,10%,15,Needed,1984,Yes,Electric,7,12.19,02/10/2014 12:00:00 AM,"905 E 51 ST
Austin, TX 78751
(30.311705121000443, -97.7145518809997)"
Woodland Corners,248720,03/28/2011 12:00:00 AM,6.6,10%,30,Complete,1973,Yes,Gas and Electric,64,17.54,02/10/2014 12:00:00 AM,"9008 Galewood Dr
Austin, TX 78758
(30.367107063000446, -97.71528621499965)"
CityView,290240,05/11/2011 12:00:00 AM,40,15%,13,Complete,2001,Yes,Gas and Electric,308,7.21,02/10/2014 12:00:00 AM,"4900 E. Oltorf
Austin, TX 78741
(30.22278675800044, -97.72208472599965)"
Manchaca Road Apartments,306017,01/31/2011 12:00:00 AM,17,10%,13,Complete,1996,Yes,Electric,11,8.31,02/10/2014 12:00:00 AM,"3810 Manchaca Rd
Austin, TX 78704
(30.234906821000436, -97.78510597499968)"
Delmar Apartments,212915,05/18/2011 12:00:00 AM,,N\A,,Needed,1973,Yes,Electric,11,7.76,02/10/2014 12:00:00 AM,"400 W. 34th St
Austin, TX 78705
(30.299525838000477, -97.73796884299969)"
Warren House,285501,05/27/2011 12:00:00 AM,,N\A,13,Needed,1978,Yes,Electric,39,10.79,02/10/2014 12:00:00 AM,"2439 Town Lake Circle
Austin, TX 78741
(30.239104368000483, -97.72232516099967)"
Jefferson at Falcon Ridge,329772,05/05/2011 12:00:00 AM,9,10%,14,Complete,1999,Yes,Electric,299,7.99,02/10/2014 12:00:00 AM,"500 E. Stassney Lane
Austin, TX 78745
(30.20213302400049, -97.77060287999967)"
Buena Vista at Riata,444090,12/08/2010 12:00:00 AM,69,15%,22,Complete,2000,Yes,Gas and Electric,254,7.97,02/10/2014 12:00:00 AM,"12440 Alameda Trace Circle
Austin, TX 78727
(30.42979312300048, -97.74417633399969)"
Hickory Hill,171702,03/14/2013 12:00:00 AM,11,10%,26,Complete,1985,Yes,Electric,8,11.7,02/10/2014 12:00:00 AM,"8404 FATHOM CIR
Austin, TX 78750
(30.43495714800048, -97.77827785299968)"
Brookstone Village Apartments,239687,05/31/2011 12:00:00 AM,54,10%,10,Needed,1983,Yes,Electric,503,13.42,02/10/2014 12:00:00 AM,"8800 N. IH 35
Austin, TX 78753
(30.350272551000444, -97.68816689299967)"
Ancient Oaks,204182,05/24/2011 12:00:00 AM,63,10%,,Complete,1964,Yes,Electric,29,6.54,02/10/2014 12:00:00 AM,"2705 Manor Rc
Austin, TX 78722
(30.285143552000477, -97.71367660299967)"
Austin Midtown Apartments,242303,04/29/2011 12:00:00 AM,20,10%,8,Complete,1978,Yes,Electric,136,3.56,02/10/2014 12:00:00 AM,"2819 Foster Ln
Austin, TX 78757
(30.357314364000445, -97.73775209599967)"
Milton Dowd  Apts.,215952,03/04/2011 12:00:00 AM,31,10%,,Needed,1970,No,Gas and Electric,8,6.57,02/10/2014 12:00:00 AM,"312 E 43rd St.
Austin, TX 78751
(30.30517547100044, -97.7271682119997)"
La Casita,206888,12/28/2011 12:00:00 AM,38.9,10%,1,Needed,1968,Yes,Gas and Electric,26,3.12,02/10/2014 12:00:00 AM,"2900 COLE ST
Austin, TX 78705
(30.287727934000486, -97.72518551099967)"
Park Ave Place,208476,01/01/2012 12:00:00 AM,73,15%,20,Complete,1960,Yes,Gas and Electric,16,11.07,02/10/2014 12:00:00 AM,"306 E 30 ST
Austin, TX 78705
(30.29268350300049, -97.73539275199965)"
Point South,287619,05/13/2011 12:00:00 AM,59,15%,30,Complete,1973,Yes,Electric,192,9.22,02/10/2014 12:00:00 AM,"2200 Willow Creek Dr
Austin, TX 78741
(30.23032670900045, -97.7306361629997)"
Oak Hollow,242225,05/02/2011 12:00:00 AM,65,15%,6,Needed,1972,Yes,Gas and Electric,409,8.85,02/10/2014 12:00:00 AM,"7201 WOOD HOLLOW DR
Austin, TX 78731
(30.35648409300046, -97.75115487499966)"
The Oaks,303880,05/16/2011 12:00:00 AM,52,10%,,Needed,1963,Yes,Electric,28,9.01,02/10/2014 12:00:00 AM,"2311 S. 5th Street
Austin, TX 78704
(30.244173641000486, -97.7642295709997)"
The Envoy Apartments,112551,02/22/2011 12:00:00 AM,,N\A,14,Needed,1965,Yes,Electric,10,7.46,02/10/2014 12:00:00 AM,"2108 San Gabriel St
Austin, TX 78705
(30.28519329700049, -97.74814173699968)"
Seton Square,206694,04/13/2011 12:00:00 AM,,N\A,,Needed,1933,No,Electric,8,7.59,02/10/2014 12:00:00 AM,"617 24 1/2 ST
Austin, TX 78705
(30.28856036400049, -97.7439604219997)"
Turnberry Apts. - Bldg D,211831,05/01/2011 12:00:00 AM,63,10%,,Needed,1966,Yes,Electric,20,6.35,02/10/2014 12:00:00 AM,"918 E. 40th St
Austin, TX 78751
(30.298015715000474, -97.72137763399968)"
Austin Parke,236507,08/09/2011 12:00:00 AM,24,10%,6,Needed,1969,,Gas and Electric,240,7.73,02/10/2014 12:00:00 AM,"400 W. Anderson Ln
Austin, TX 78752
(30.34593574100046, -97.70785759899968)"
The McClintock,496069,05/12/2011 12:00:00 AM,29.2,15%,20,Needed,1994,No,Gas and Electric,97,7.57,02/10/2014 12:00:00 AM,"6804 N. Capital of Texas Hwy
Austin, TX 78731
(30.369330200000434, -97.78862248699966)"
Bridgehead Apartments,136498,11/11/2011 12:00:00 AM,20.6,10%,16,Needed,1985,No,Electric,128,9.68,02/10/2014 12:00:00 AM,"6001 Shepherd Mountain Cove
Austin, TX 78730
(30.35775378000045, -97.79572539099968)"
Verano,548324,11/04/2010 12:00:00 AM,29,15%,15,Needed,1995,Yes,Electric,240,6.03,02/10/2014 12:00:00 AM,"11900 Hobby Horse Court
Austin, TX 78758
(30.404397014000438, -97.71353092099969)"
Fair Oaks Apartments,437839,03/01/2011 12:00:00 AM,62,15%,13,Needed,1956,Yes,Electric,11,8.72,02/10/2014 12:00:00 AM,"3506 ENFIELD
Austin, TX 78703
(30.294625935000454, -97.78054836699965)"
Northgate Terrace,248733,05/20/2011 12:00:00 AM,25,10%,15,Complete,1984,Yes,Electric,48,15.8,02/10/2014 12:00:00 AM,"1814 Colony Creek Dr
Austin, TX 78758
(30.369597876000455, -97.71589736999965)"
Woodchase Apartments,245934,06/17/2011 12:00:00 AM,48,15%,10,Needed,1983,Yes,Electric,230,9.32,02/10/2014 12:00:00 AM,"8924 Burnet Rd
Austin, TX 78757
(30.37177265900044, -97.72688719699966)"
Peterson Apartments,217489,05/01/2011 12:00:00 AM,22,10%,11,Needed,1974,Yes,Electric,9,8.77,02/10/2014 12:00:00 AM,"1407 W. 39 1/2 st.
Austin, TX 78756
(30.309114818000467, -97.74621233299968)"
8th Hole,213238,05/17/2011 12:00:00 AM,54,10%,,Needed,1972,Yes,Gas and Electric,10,7.36,02/10/2014 12:00:00 AM,"516 E 40th ST
Austin, TX 78751
(30.30090567500048, -97.72713860199968)"
Stassney Apartments,380587,01/31/2011 12:00:00 AM,19,10%,13,Needed,1996,Yes,Electric,9,10.78,02/10/2014 12:00:00 AM,"5600 Nancy Dr
Austin, TX 78745
(30.20897654300046, -97.7838564219997)"
Fairway Village,"288145, 288146",04/21/2011 12:00:00 AM,39,15%,,Complete,1974,,Gas and Electric,127,12.55,02/10/2014 12:00:00 AM,"6118 Fairway St.
Austin, TX 78741
(30.228835537000464, -97.70317799599968)"
4500 Witham Lane,320442,05/20/2011 12:00:00 AM,70,10%,6,Complete,1981,No,Electric,12,9.13,02/10/2014 12:00:00 AM,"4500 Witham Lane
Austin, TX 78745
(30.213563760000454, -97.76330928499965)"
Hillside Place,551506,05/17/2011 12:00:00 AM,68,10%,3,Complete,1973,Yes,Electric,81,11.13,02/10/2014 12:00:00 AM,"4821 E. Riverside
Austin, TX 78741
(30.23164495700047, -97.71774031199965)"
Limestone Canyon,762316,04/01/2011 12:00:00 AM,50,15%,18,Complete,1999,Yes,Gas and Electric,260,8.5,02/10/2014 12:00:00 AM,"12118 Walnut Park Crossing
Austin, TX 78753
(30.392910609000467, -97.67641270899969)"
Gables Central Park,425910,04/22/2011 12:00:00 AM,49,15%,19,Complete,1997,No,Gas and Electric,273,7.36,02/10/2014 12:00:00 AM,"800 W. 38th St
Austin, TX 78705
(30.304445875000454, -97.7414296879997)"
Dominion at Riata,440078,12/01/2010 12:00:00 AM,55,15%,21,Complete,1999,Yes,Gas and Electric,152,8.22,02/10/2014 12:00:00 AM,"12340 Alameda Trace Circle
Austin, TX 78727
(30.43117651400047, -97.74737186999965)"
Nueces Oaks,208195,04/14/2011 12:00:00 AM,21,15%,18,Complete,1986,No,Electric,88,9.02,02/10/2014 12:00:00 AM,"2710 Nueces St
Austin, TX 78705
(30.292523608000465, -97.7427325379997)"
